x,y,floor,AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8
10,8,1,-57.6,-52.5,-56.1,-53.7,-67.6,-69.5,-57.5,-70.1
10,8,1,-57.5,-50.9,-53.3,-55.0,-70.1,-68.2,-59.1,-66.5
10,8,1,-58.8,-50.3,-52.9,-53.9,-68.3,-71.9,-63.0,-73.2
12,8,1,-51.8,-54.9,-50.7,-52.0,-62.7,-68.9,-62.8,-67.2
12,8,1,,-52.3,-46.5,-51.6,-66.3,-70.0,-60.0,-67.2
12,8,1,-58.6,,-50.4,-56.3,-63.3,-70.7,-63.7,-71.6
12,8,1,-60.7,-51.9,-51.6,-51.2,-63.7,-72.6,-62.9,-67.6
12,8,1,-56.1,-53.6,-43.4,-53.2,-66.6,-71.9,-61.4,
12,8,1,-59.9,-51.0,-48.1,-54.9,-63.8,-74.7,-58.9,-66.9
12,8,1,-54.5,-53.9,-46.8,-51.0,-65.1,-72.0,,-69.9
12,8,1,-58.8,-55.0,-47.1,-53.7,-66.3,-71.9,-60.8,-65.6
12,8,1,-56.7,,-51.5,-56.3,-65.1,-69.9,-61.4,-66.4
12,8,1,-58.7,-51.9,-49.0,-54.0,-67.0,-72.7,-62.9,-68.6
12,8,1,-58.9,-54.7,-50.8,-54.2,-67.0,-70.5,-63.0,-66.9
12,8,1,-61.3,-55.5,-51.6,-57.8,-62.2,-70.5,-59.6,-64.0
14,8,1,-55.7,-51.1,-48.7,-59.5,-64.1,-71.1,-66.1,-65.2
14,8,1,-58.4,-55.8,-46.2,-53.1,-63.7,-73.8,-68.5,-67.9
14,8,1,-57.9,-53.0,-48.3,-54.5,-59.6,-76.8,-63.4,-66.5
14,8,1,-61.1,-51.7,-47.6,-53.7,-59.2,-73.5,-64.4,-66.4
14,8,1,-57.6,-52.2,-43.2,-55.2,-58.6,-76.0,-66.1,-65.4
14,8,1,-62.0,-54.4,-50.2,-53.0,-58.2,-72.7,-61.1,-66.2
14,8,1,-58.0,-53.6,-50.2,-55.3,-60.3,-70.3,-65.5,-65.4
14,8,1,-58.0,-54.8,-48.5,-56.9,-61.7,-73.7,-62.4,-63.8
14,8,1,-58.4,-55.9,-44.3,-55.0,-58.7,-71.2,-62.7,-65.9
14,8,1,-61.4,-53.7,-42.6,-57.3,-58.2,-74.4,-62.3,-65.6
14,8,1,-54.9,-53.7,-44.2,-55.0,-60.2,,-63.6,-65.7
14,8,1,-62.7,-52.2,-50.4,-55.9,-60.4,-72.0,-71.6,-66.4
16,8,1,-62.9,-53.7,-45.3,-55.3,-57.4,-72.1,-67.2,-69.3
16,8,1,-61.3,,-41.3,-58.9,-58.8,-74.7,-65.0,-67.2
16,8,1,-60.9,-53.4,-46.4,-55.5,-59.7,-74.8,-66.1,-64.0
16,8,1,-59.0,-54.8,-43.2,,-54.1,-71.2,-64.3,-67.5
16,8,1,-59.3,-55.8,-48.8,-60.2,-58.6,-71.6,-65.7,-67.4
16,8,1,-59.8,-56.8,-43.1,-60.0,-56.8,-74.5,-64.6,-67.8
16,8,1,-57.7,-51.9,-40.5,-59.7,-60.0,-74.8,-65.4,-64.0
16,8,1,-60.4,-51.5,-48.7,-58.4,-56.4,-77.3,-61.8,-66.4
16,8,1,-64.7,-57.0,-46.0,-56.1,-64.0,-75.3,-67.0,-69.7
16,8,1,-61.1,-53.9,-44.9,-59.4,-58.6,-75.3,-69.4,-67.9
16,8,1,-61.0,-52.4,-42.9,-57.9,-57.4,-73.8,-70.5,-65.7
16,8,1,-64.4,-57.3,-44.9,-59.9,-58.9,-75.2,-68.7,-62.9
18,8,1,-64.5,-58.5,-43.0,-60.7,-56.1,-81.1,-66.6,-67.7
18,8,1,-60.1,-59.9,-42.6,-58.4,-60.7,-76.1,-66.0,-64.8
18,8,1,,-56.1,-40.8,-57.5,-57.2,-78.9,-71.2,-69.3
18,8,1,-61.6,-56.7,-40.6,-60.2,-56.9,-75.3,-67.8,-66.1
18,8,1,-60.4,-52.6,-42.1,-55.6,-59.9,-75.1,-70.6,-68.7
18,8,1,-59.8,-59.8,-42.3,-59.9,-55.0,-72.2,-70.1,-66.0
18,8,1,-60.7,-58.2,-42.0,-60.8,-63.1,-74.9,-71.6,-66.7
18,8,1,-65.1,-60.7,-43.8,-60.0,-59.8,-75.0,-72.6,-69.6
18,8,1,-58.3,-51.2,-41.9,-61.2,-57.6,-76.8,-69.4,-65.3
18,8,1,-62.1,,-42.9,-59.3,-55.9,-74.7,-68.4,-69.5
18,8,1,-57.5,-56.0,-44.4,-56.2,-59.7,-72.1,-67.1,-66.9
18,8,1,-64.3,-54.1,-46.4,-62.5,-58.8,-74.8,-66.9,-68.2
0,12,1,-52.0,-56.3,-58.0,-44.6,-77.3,-61.0,-69.8,-76.5
0,12,1,-54.4,-58.7,-58.4,-44.6,-75.4,-64.8,-69.8,-77.8
0,12,1,-58.7,-58.3,-62.3,-45.9,-73.7,-68.3,-64.8,-74.3
0,12,1,-54.5,-59.6,-61.6,-40.1,-78.4,-63.7,-70.1,-76.5
0,12,1,-57.1,-60.0,-60.5,-38.2,-77.1,-60.6,-70.4,-80.2
0,12,1,-53.4,-55.6,-66.9,-42.9,-76.8,-61.3,-69.4,-78.0
0,12,1,-57.1,-61.6,-59.2,-43.0,,-60.7,-70.2,-74.4
0,12,1,-57.6,-53.8,-59.6,,-75.8,-69.3,-70.8,-75.9
0,12,1,-57.1,-59.1,-64.2,-42.3,-73.5,-61.1,-67.7,-78.2
0,12,1,-57.8,-60.8,-61.2,-43.0,-75.8,-64.1,-70.2,-73.5
0,12,1,-56.8,-57.6,-62.3,-42.2,-74.7,-63.9,-65.0,-76.4
0,12,1,-53.7,-58.9,-61.9,-44.0,-71.0,-68.1,-69.0,-77.1
2,12,1,-58.4,-56.2,-59.1,-34.4,-70.1,-62.2,,
2,12,1,-56.4,-52.2,-62.7,-39.3,-74.7,-64.8,-65.7,-75.3
2,12,1,-60.1,-59.4,-60.4,-36.5,-73.3,-64.4,-65.7,-76.1
2,12,1,-60.2,-55.3,-65.1,-36.4,-73.7,-62.4,-63.7,-78.3
2,12,1,-57.3,-60.7,-59.9,-35.8,-76.1,-63.1,-65.7,-74.0
2,12,1,-59.1,-60.4,-63.5,-36.6,-70.5,-61.4,-67.3,-73.4
2,12,1,-59.0,-59.8,-56.1,-34.7,-73.1,-62.0,-63.6,-73.7
2,12,1,-55.4,-61.3,-59.3,-38.0,-74.1,-62.5,-65.5,-80.2
2,12,1,-55.2,-55.8,-55.0,-37.4,-77.6,-63.3,,-73.6
2,12,1,-55.4,-56.0,-59.0,-35.6,-74.6,-65.3,-65.2,-75.7
2,12,1,-55.6,-56.1,-59.3,-34.7,-74.9,-66.0,-65.2,-74.1
2,12,1,-53.6,-58.0,-59.2,-36.6,-77.4,-62.8,-67.6,-75.3
4,12,1,-55.3,-56.3,-54.9,-32.5,-70.7,-64.9,-60.3,-71.5
4,12,1,-57.0,-59.7,-60.3,-37.2,-74.7,-63.2,-62.0,-73.4
4,12,1,-55.6,-56.1,-61.5,-40.8,-70.9,-62.1,-63.2,-78.2
4,12,1,-57.7,-59.1,-57.1,,-77.1,-62.5,,-72.7
4,12,1,-55.1,-58.3,-56.6,-32.9,-74.1,-67.5,-67.5,-73.8
4,12,1,-62.2,-56.7,,-35.7,-71.6,,-61.7,-75.7
4,12,1,-57.6,-55.3,-60.7,-37.8,,-62.7,-67.5,-73.3
4,12,1,-56.7,-53.5,-60.5,-33.9,-70.0,-62.7,-63.1,-76.4
4,12,1,-58.7,-55.9,-57.4,-37.8,-70.4,-64.7,-59.7,-72.1
4,12,1,-52.7,-55.3,-58.0,-38.5,-75.2,-63.5,-65.0,-76.1
4,12,1,-52.9,-56.5,-57.6,-30.0,-70.1,-65.7,-65.9,-73.3
4,12,1,-57.1,-56.0,-59.6,-33.2,-71.3,-64.0,-64.3,-75.8
6,12,1,-55.8,-55.4,-60.4,-42.9,-69.7,-66.2,-57.4,-76.6
6,12,1,,-56.9,-55.1,-42.0,-72.7,-65.4,-55.2,-74.7
6,12,1,-57.4,-61.4,-52.8,-45.1,-70.9,-65.4,-60.4,-74.6
6,12,1,-58.0,-55.7,-59.2,-42.9,-74.8,-62.7,-60.8,-78.7
6,12,1,-59.2,,-54.7,-44.1,-67.9,-67.8,-60.3,-74.1
6,12,1,-56.5,-57.3,-61.3,-40.4,-71.0,-65.6,-57.4,-69.0
6,12,1,-54.2,,-54.9,-46.5,-74.6,-64.3,-56.7,-77.2
6,12,1,-58.7,-53.9,-58.1,-43.4,-73.7,-69.4,-59.8,-74.9
6,12,1,-62.7,-56.9,-55.7,-46.2,-74.5,-66.1,-56.7,-77.0
6,12,1,-55.0,-52.2,-56.8,-38.2,-74.3,-70.0,-58.9,-74.8
6,12,1,-57.0,-55.4,-55.1,-41.1,-74.1,-65.6,-56.9,-69.4
6,12,1,-58.1,-56.3,-55.9,-43.6,-72.0,-65.9,-62.0,-76.7
8,12,1,-58.0,-55.9,-57.5,-51.4,-69.2,-70.2,-51.3,-71.3
8,12,1,-52.3,-58.1,-54.7,-47.8,-70.7,-67.2,-52.0,-73.5
8,12,1,-56.8,-56.8,-55.6,-47.4,-66.1,-71.5,-51.4,-68.2
8,12,1,-57.8,-54.1,-52.6,-48.4,-71.2,-71.8,-50.4,-72.1
8,12,1,-64.3,-53.2,-58.5,-45.6,-66.5,-72.1,-49.5,-73.7
8,12,1,-58.3,-51.4,-53.7,-48.7,-65.7,-66.7,-47.2,-72.1
8,12,1,-62.2,-58.9,-52.7,-46.3,,-69.3,-53.5,-77.1
8,12,1,-58.2,-61.5,-53.3,-47.3,-64.1,-66.2,-48.0,-67.5
8,12,1,-56.9,-57.0,-56.3,-51.5,-72.6,-66.9,-48.3,-70.3
8,12,1,-62.2,-55.7,-59.6,-46.6,-71.1,-67.6,-52.0,-72.3
8,12,1,-60.7,-55.9,-60.7,-46.4,-65.7,-65.1,-50.7,-72.0
8,12,1,-55.8,-54.5,-57.8,-49.0,-70.1,-68.5,-49.6,-70.6
10,12,1,-59.4,-53.2,-56.1,-52.7,-66.0,-69.0,-49.7,
10,12,1,-57.5,-55.1,-51.0,-55.7,-70.9,-74.3,-51.3,-73.9
10,12,1,,-55.9,-53.9,-52.7,-69.4,-69.1,-51.2,
10,12,1,-57.9,-54.9,-59.2,-50.8,-70.3,,-52.8,-74.4
10,12,1,-58.8,-58.9,-57.4,-51.3,-68.3,-73.9,-52.7,-72.3
10,12,1,-56.7,-57.4,-53.0,,-66.9,-68.9,-49.6,-67.2
10,12,1,-56.7,-58.7,-56.2,-57.0,-66.9,-74.2,-51.8,-73.1
10,12,1,-57.5,-54.9,-61.0,-48.0,-66.1,-70.2,-48.2,
10,12,1,-56.4,-55.1,-54.6,-49.9,-62.2,-69.0,-51.4,-74.4
10,12,1,-56.4,-57.0,-54.1,-50.9,-62.7,-71.6,-53.5,-75.1
10,12,1,-59.1,-53.7,-52.3,-49.7,-65.2,-72.2,-50.3,-67.9
10,12,1,-56.7,-54.9,-55.5,-52.6,-66.0,-66.4,-54.6,-70.8
12,12,1,,-56.1,-52.6,-54.3,-62.9,-71.2,-61.5,-75.0
12,12,1,-60.2,-59.5,-56.2,-52.1,,-76.7,-63.4,-72.2
12,12,1,-58.6,-53.7,-55.0,-58.4,-62.7,-70.1,-59.1,-74.9
12,12,1,-59.6,-55.4,,-55.3,-64.6,-72.8,-57.4,-71.4
12,12,1,-60.9,-57.8,-52.2,-52.7,-59.3,-72.3,-56.1,-73.2
12,12,1,-60.5,-54.9,-55.1,-57.1,-64.6,-69.3,-55.7,-69.3
12,12,1,-55.2,-54.6,-55.3,-52.0,-64.6,-70.8,-63.2,-69.4
12,12,1,-58.9,-57.4,-51.1,-51.5,-62.7,-69.5,-62.2,-67.3
12,12,1,-57.3,-54.3,-58.2,-49.1,-63.0,-73.1,-54.9,-74.2
12,12,1,-60.5,-56.2,-56.0,-52.6,-62.8,-74.3,-58.3,-73.9
12,12,1,-63.6,-54.9,-54.7,-55.9,-68.6,-73.3,-61.2,-74.8
12,12,1,-58.4,-59.6,-54.8,-54.5,-60.6,-71.0,-57.6,-72.0
14,12,1,-56.5,-56.4,-50.5,-57.5,-59.0,,-65.4,-70.1
14,12,1,-60.4,-55.8,-51.2,-54.7,-59.6,-72.6,-62.5,-70.9
14,12,1,-62.0,-55.9,-51.2,-55.0,-62.2,-73.1,-61.0,-70.1
14,12,1,-61.7,-56.0,-49.1,-56.7,-58.1,-75.1,-64.2,-72.1
14,12,1,-56.5,-57.2,,-57.3,-57.6,,-61.0,-72.0
14,12,1,-61.8,-55.5,-52.9,-56.0,-59.2,-71.2,-64.9,-71.6
14,12,1,-58.5,-57.4,-52.5,-52.3,-56.5,-73.5,-59.9,
14,12,1,-65.0,-56.2,-49.6,-58.1,-57.8,,-61.7,-73.8
14,12,1,-58.7,-60.7,,-59.4,-56.3,,-64.2,-66.1
14,12,1,-61.7,-58.1,-54.4,-55.9,-58.9,-74.8,-66.8,-68.3
14,12,1,-63.4,-57.9,-53.0,-56.3,-58.7,-70.5,-63.0,-72.4
14,12,1,-61.3,-59.4,-57.3,-54.5,-53.6,-71.6,-63.8,-67.7
16,12,1,-60.9,-62.2,,-56.5,,-73.2,-64.2,-71.3
16,12,1,-60.2,-56.0,-55.5,-57.1,-51.3,-73.1,-66.9,-70.4
16,12,1,-57.6,-59.0,-53.6,-59.7,-48.6,-74.2,-63.1,-67.4
16,12,1,-61.8,-58.2,-52.1,-55.6,-50.1,,-69.5,-68.4
16,12,1,-64.0,-53.3,-52.2,-56.4,-46.9,-73.0,-67.6,-72.3
16,12,1,-62.7,-57.1,-52.4,-55.5,-52.2,-70.3,-67.3,
16,12,1,-64.0,-59.4,-49.3,-61.4,-49.0,-70.0,-68.2,-73.9
16,12,1,-62.6,-55.1,-52.7,-57.0,,-74.2,-66.2,-67.9
16,12,1,-59.3,-58.2,-48.9,-51.5,-49.4,-74.4,-69.8,
16,12,1,-60.8,-56.4,-53.0,,,-78.6,-69.3,-68.3
16,12,1,-61.8,-56.1,-45.9,-59.8,-49.9,-75.1,-66.1,-72.4
16,12,1,-66.1,-61.2,-52.6,-58.6,-50.8,-73.9,-63.1,-75.6
18,12,1,-59.9,-57.3,-55.2,-59.3,-52.9,-75.7,-70.2,-74.6
18,12,1,-66.1,-55.6,-51.3,-57.6,-52.1,-71.4,-71.0,-69.3
18,12,1,-64.0,-57.8,-53.2,-60.7,-49.8,-77.5,-68.7,-68.2
18,12,1,-60.6,-60.7,-50.6,-59.5,-50.0,-74.3,-67.7,-74.4
18,12,1,-54.2,-58.6,-51.3,-59.2,-50.0,-77.9,-70.4,-73.4
18,12,1,-60.7,-56.7,-54.2,-58.6,-50.9,-78.1,-67.6,-67.8
18,12,1,-64.7,-57.6,,-55.3,-49.4,-77.4,-72.1,-69.1
18,12,1,-58.2,-57.9,-49.7,-59.6,-53.9,-78.5,-71.1,-69.6
18,12,1,-64.2,-59.5,,-57.4,-51.9,-75.6,-69.3,-69.7
18,12,1,-59.6,-57.6,-52.6,-58.4,-51.3,-75.6,-68.0,-70.2
18,12,1,-65.0,-58.0,-54.9,,-50.0,-75.1,-73.8,-72.1
18,12,1,-65.2,-60.2,-54.8,-58.1,-53.5,-78.3,-66.1,-73.4
0,0,2,-49.3,-66.4,-75.4,-66.9,-63.3,-46.8,-58.0,-56.6
0,0,2,-49.6,-69.0,-76.8,-69.2,-62.9,-51.3,-61.2,-56.6
0,0,2,-49.4,-68.9,-75.7,-73.8,-61.8,-46.2,,-60.2
0,0,2,-51.2,-66.4,-75.4,-74.6,-61.9,-51.0,-59.9,-63.0
0,0,2,-51.4,-73.6,-75.5,-71.2,-60.1,-52.5,-64.4,-55.9
0,0,2,-51.2,-70.4,-75.1,-72.5,-60.5,-50.3,-57.8,-56.4
0,0,2,-50.0,-67.0,-76.6,-69.3,-60.8,-54.5,-58.1,-57.2
0,0,2,-48.3,-67.4,-73.1,-66.4,-63.1,-54.7,-60.1,-56.4
0,0,2,-49.0,-71.0,-77.6,-72.4,-67.6,-55.0,-57.0,-60.2
0,0,2,-51.0,-69.5,-74.9,-70.1,-66.4,-54.6,-59.1,-56.0
0,0,2,-47.3,,-74.6,-72.9,-59.3,-53.3,-59.1,-62.0
0,0,2,-50.7,-68.9,-74.6,-68.4,-59.6,-49.9,-58.4,-58.2
2,0,2,-50.8,-68.2,-75.1,-68.7,-61.0,-52.4,-56.5,-55.6
2,0,2,-50.2,,-77.7,-68.1,-62.2,-52.3,-60.0,-57.1
2,0,2,-49.4,-66.0,-74.4,-70.7,-66.2,-51.3,-59.4,-55.8
2,0,2,-51.0,-66.2,-75.9,-71.6,-58.2,-53.4,-58.9,-60.8
2,0,2,,-68.2,-76.8,-73.4,-61.4,-49.1,-62.0,
2,0,2,-50.0,-69.7,-78.6,-73.4,-64.9,-49.6,-54.5,-58.3
2,0,2,-54.3,-64.2,-77.1,-73.9,-61.2,-56.6,,-58.0
2,0,2,-51.4,-69.1,-73.6,-69.1,-59.0,-46.7,-57.3,-56.9
2,0,2,-50.7,-61.8,-77.7,-74.1,-62.5,-50.3,-60.9,-57.2
2,0,2,-50.5,-66.8,,-69.5,-57.5,-51.8,-58.9,-55.7
2,0,2,-46.4,-66.6,-75.1,-70.5,-59.2,-50.1,-56.7,-58.4
2,0,2,-51.1,-63.2,-77.0,-73.2,-58.8,-45.6,-55.6,-57.4
4,0,2,-59.6,-61.2,-74.0,-71.6,-54.4,-55.0,-57.1,-57.8
4,0,2,-61.3,-63.6,-70.6,-68.2,-64.6,-53.6,-54.5,-53.8
4,0,2,-58.4,-66.5,-73.6,-72.3,-60.2,-53.8,-56.0,-56.7
4,0,2,-58.6,-64.2,-69.9,-72.6,-62.8,-49.8,-58.7,-58.2
4,0,2,-58.3,-62.2,-73.6,-76.2,-63.2,-49.1,-56.1,-56.0
4,0,2,-56.6,-63.5,-72.5,-73.5,-62.5,-50.6,-53.0,-57.5
4,0,2,-59.5,-64.0,-74.2,-73.8,-55.0,-47.1,-55.7,-58.3
4,0,2,-56.5,-63.5,-73.7,-75.0,-59.4,-53.3,-53.7,-56.3
4,0,2,-60.4,-63.9,-73.2,-73.2,-60.8,-53.6,-54.4,-53.3
4,0,2,-56.5,-66.1,-71.1,-68.4,-59.6,,-57.3,-58.8
4,0,2,-55.3,-59.0,-72.4,-71.4,-54.5,-50.3,-53.9,
4,0,2,-58.4,-60.7,-74.5,-72.7,-62.4,-55.5,-57.4,-52.8
6,0,2,-61.1,-57.2,-69.1,-70.9,-59.5,-57.4,-57.8,-55.9
6,0,2,-58.8,-56.6,-71.7,-71.7,-58.4,-55.9,-57.2,-57.8
6,0,2,-58.7,-59.5,-70.7,-68.8,-58.4,-52.4,-56.0,-54.5
6,0,2,-65.1,-56.4,-70.0,-71.3,-58.8,-56.7,-57.2,-56.5
6,0,2,-64.7,-58.9,-71.8,-69.9,-56.5,-54.3,-54.2,-51.8
6,0,2,-66.8,-55.3,-72.0,-69.0,-56.2,-52.0,-55.6,-52.0
6,0,2,-65.1,-59.9,-72.4,-71.1,-58.7,-52.7,-57.6,-55.6
6,0,2,,-59.7,-69.8,-71.7,-57.8,-50.3,-59.0,-53.8
6,0,2,-66.1,-59.5,-69.8,-72.0,-56.8,-54.0,,-53.8
6,0,2,-62.6,-57.6,-68.5,-70.2,-59.4,-50.5,-52.4,-54.3
6,0,2,-68.0,-56.2,-73.4,-67.2,-59.8,-52.6,-55.1,-54.5
6,0,2,-65.7,-59.4,-74.2,-70.1,-67.1,-54.2,-58.8,-52.3
8,0,2,-67.3,-53.8,-70.7,-77.3,-61.5,-55.4,-58.1,-55.6
8,0,2,-62.8,-48.5,-72.2,-70.9,-57.1,-55.8,-54.6,-50.3
8,0,2,-66.8,-53.3,-67.4,-73.2,-61.5,-54.2,-57.5,
8,0,2,-65.4,-51.4,-71.2,-71.8,-56.7,-53.1,-55.7,-49.4
8,0,2,-64.9,-46.8,-69.6,-73.0,-61.3,-51.5,-53.9,-51.0
8,0,2,-65.8,-49.2,-70.5,-69.6,-58.9,-56.8,-61.0,-51.6
8,0,2,,-49.8,-74.0,-71.9,-61.8,-49.9,-56.6,-49.1
8,0,2,-65.0,-48.3,-65.6,-77.2,-57.4,-51.6,-57.4,-51.6
8,0,2,-67.6,-51.6,-65.2,-72.2,-57.9,-54.5,-57.1,-52.7
8,0,2,-69.7,-50.7,-70.7,-69.9,-57.9,-54.7,-55.4,-49.1
8,0,2,-64.4,-45.5,-70.0,-71.7,-60.3,-51.7,-58.1,-51.9
8,0,2,-70.0,-47.4,-68.2,-69.9,-57.3,-51.7,-57.9,-52.1
10,0,2,-68.0,-47.1,-70.1,-73.2,-52.7,-59.6,-57.0,-53.0
10,0,2,,-51.6,-68.9,-73.7,-56.7,-59.6,-57.8,-52.3
10,0,2,-69.0,-52.6,-68.7,-71.3,-59.1,-60.6,-56.7,-50.9
10,0,2,-69.7,-53.2,-68.5,-72.0,-56.1,-57.1,-56.0,
10,0,2,-70.7,-48.0,-69.3,-75.3,-59.1,-57.6,-55.3,-49.7
10,0,2,-66.3,-50.9,-68.3,-73.7,-60.2,-60.0,-55.4,-49.7
10,0,2,-67.7,-53.9,-68.8,-74.7,-57.1,-55.0,-59.5,
10,0,2,-68.3,-49.3,-67.7,-72.3,-56.7,-56.5,-54.9,
10,0,2,-67.3,-53.8,-68.5,-71.7,-51.9,-55.8,-56.2,-50.3
10,0,2,-71.8,-50.1,-69.1,-71.5,-58.4,-57.1,-56.8,-45.8
10,0,2,-68.6,-50.7,-69.4,-74.0,-54.6,-59.0,-55.2,-47.6
10,0,2,-69.8,-51.2,-66.1,-74.5,-60.3,-58.3,-57.3,-44.4
12,0,2,-68.2,-60.1,,-74.4,-55.0,-55.1,-57.0,-47.3
12,0,2,-75.9,-61.1,-65.1,-73.6,-59.9,-56.1,-58.3,-40.1
12,0,2,-73.2,-57.2,-65.6,-75.5,-59.9,-59.2,-56.3,
12,0,2,-76.2,-60.5,-69.0,-70.0,-57.2,-56.5,-54.9,-44.4
12,0,2,-67.3,-54.2,-60.9,-72.6,-57.3,-58.4,-54.3,-43.1
12,0,2,-74.7,-60.2,-66.7,-77.2,-58.6,-56.6,-56.6,
12,0,2,,-61.1,-68.5,-77.6,-54.6,-58.9,-53.0,-38.6
12,0,2,-69.9,-57.4,-65.1,-70.2,-55.9,-59.9,-55.7,-44.7
12,0,2,-70.6,-57.5,-66.2,-73.9,-54.2,-56.5,,-44.5
12,0,2,-68.2,-58.9,-64.7,,-58.0,-56.2,-56.3,-47.0
12,0,2,-69.2,-57.2,-66.1,-74.7,-60.6,-59.9,-60.8,-42.4
12,0,2,-68.0,-61.2,-63.5,-68.7,-59.8,-61.8,-57.4,-41.7
14,0,2,-69.7,-65.7,-65.3,-75.0,-60.3,-58.8,-62.4,-37.2
14,0,2,-71.1,-62.2,-65.0,-72.4,-56.1,-60.6,-54.6,-37.7
14,0,2,-73.2,-63.5,-61.6,-78.3,-53.3,-63.4,-58.6,-35.5
14,0,2,-74.9,-65.4,-64.5,-74.7,-55.1,-57.0,-57.8,-35.2
14,0,2,-70.7,-64.7,-60.3,-76.9,-57.2,-57.2,-57.6,-37.9
14,0,2,-71.3,-61.2,-61.7,-73.8,-57.8,-57.1,-53.2,-39.5
14,0,2,-73.3,-64.0,-65.7,-71.1,-57.1,-60.4,-55.2,-36.6
14,0,2,-74.0,-61.4,-62.8,-71.5,-56.5,-58.7,-54.0,-33.9
14,0,2,-67.5,-63.7,-65.1,-73.3,-55.6,-59.7,-57.1,-35.5
14,0,2,-71.0,-61.6,-63.4,-68.4,-55.2,-57.0,,-36.0
14,0,2,-68.0,-62.8,-65.6,-77.4,-58.0,-56.7,-55.9,-34.6
14,0,2,-74.9,-64.8,-65.5,-76.6,-52.4,-60.9,-54.4,-33.5
16,0,2,-77.7,-66.5,,-74.3,-57.4,-59.3,-56.8,-33.1
16,0,2,-72.1,-67.7,-63.3,-75.6,-56.9,-55.6,-57.0,-37.6
16,0,2,-74.4,-66.3,-61.6,-79.0,-49.3,-61.8,-56.5,-32.5
16,0,2,-75.1,-67.1,-61.1,-71.1,-52.8,-57.7,-56.7,-39.6
16,0,2,-79.1,-68.3,-66.1,,-57.3,-64.8,-57.7,-36.6
16,0,2,-75.1,-65.3,-64.9,-75.7,-55.6,-63.2,-59.8,-37.7
16,0,2,-76.9,-65.8,-62.5,-75.9,-54.8,,-52.7,-33.0
16,0,2,-75.4,-65.2,-63.1,-75.0,-56.4,-60.4,-60.7,-35.2
16,0,2,-74.3,,-60.7,-74.9,-54.8,-59.0,-58.4,-40.6
16,0,2,-72.1,-67.1,-63.3,-77.9,-55.5,-58.8,-58.1,-33.3
16,0,2,-75.5,-62.9,-61.6,-76.9,-58.1,-62.1,-59.8,-33.2
16,0,2,-71.5,-66.0,-61.8,-78.1,-54.6,-59.8,-58.2,-34.8
18,0,2,-75.1,,-64.4,-74.0,-58.0,-61.9,-57.1,-42.4
18,0,2,-74.8,-69.7,-63.2,-78.1,-55.2,-63.5,-57.6,-42.6
18,0,2,-76.9,-69.8,-58.4,-76.6,-59.8,-58.4,-59.0,-44.2
18,0,2,-75.6,-70.7,-65.1,-76.9,-56.8,-63.4,-57.0,
18,0,2,-75.0,-68.9,-64.2,-78.4,-54.3,-62.3,-54.5,-45.3
18,0,2,-71.2,-65.6,-66.3,-78.8,-54.4,-59.2,-58.4,-48.1
18,0,2,-76.4,-68.6,-66.5,-81.3,-55.7,-59.4,-62.7,-45.1
18,0,2,-75.1,-68.2,-61.7,-76.1,-54.8,-60.2,-56.2,-46.4
18,0,2,-73.8,-66.9,-67.2,-71.7,-55.7,-62.5,-60.1,-39.3
18,0,2,-72.7,-71.6,-63.1,-75.7,-56.5,-56.1,-57.0,-41.4
18,0,2,-75.5,-68.0,-64.9,-75.3,-58.5,-61.6,-61.9,-47.9
18,0,2,-73.6,-68.6,-62.8,-73.2,-53.1,-59.0,-57.5,-39.8
0,4,2,-61.4,-71.5,-76.1,-69.7,-60.9,-41.6,,-60.0
0,4,2,-59.2,-68.3,-77.2,-71.2,-63.3,-44.8,-55.1,-61.8
0,4,2,-59.8,-69.7,-76.5,-63.9,-59.4,-43.6,-54.3,-59.1
0,4,2,-57.8,-73.8,-72.8,,-56.8,-44.1,-58.0,-59.2
0,4,2,-60.8,-66.7,-79.0,-71.6,-59.1,-44.9,-56.6,-55.9
0,4,2,-64.6,-66.0,-77.3,-67.5,-66.6,-41.9,-53.8,-59.7
0,4,2,-55.1,-64.8,-75.9,,-59.3,-43.0,-57.1,
0,4,2,-58.5,-67.4,-77.2,-70.5,-62.0,-36.3,-55.0,-58.5
0,4,2,-57.3,-72.4,-73.9,-66.3,-64.1,-44.8,-56.9,-60.6
0,4,2,-58.8,-68.6,-77.4,-67.9,-59.6,-41.7,-56.9,-61.7
0,4,2,-58.9,-69.2,-78.6,-65.5,-61.0,-40.9,-58.0,-60.0
0,4,2,-58.7,-69.3,-76.0,-67.1,-62.2,-45.1,-58.3,-59.0
2,4,2,-60.1,-70.5,-71.8,-63.7,-62.0,-47.3,-54.6,-57.9
2,4,2,-58.5,-67.3,-72.9,-65.7,-60.7,-43.2,-50.8,-58.3
2,4,2,-57.1,-70.3,-76.9,-65.2,-60.8,-44.6,-56.7,-57.6
2,4,2,-61.8,-67.1,-72.3,,,-42.7,-57.7,-61.6
2,4,2,-53.8,-70.4,-75.1,-60.4,-62.1,-43.5,-51.9,-56.6
2,4,2,-60.4,-64.3,-73.9,-68.4,-61.3,-45.2,-59.4,-60.2
2,4,2,-57.2,-65.9,-75.7,-68.0,-59.5,-42.7,-58.6,-57.3
2,4,2,-58.7,-68.9,-71.2,-68.8,-60.9,-44.2,-54.6,-60.9
